S.No.,Country
1,Afghanistan
2,Åland (Finland)
3,Albania
4,Algeria
5,American Samoa (US)
6,Andorra
7,Angola
8,Anguilla (BOT)
9,Antigua and Barbuda
10,Argentina
11,Armenia
12,Artsakh
13,Aruba (Netherlands)
14,Australia
15,Austria
16,Azerbaijan
17,Bahamas
18,Bahrain
19,Bangladesh
20,Barbados
21,Belarus
22,Belgium
23,Belize
24,Benin
25,Bermuda (BOT)
26,Bhutan
27,Bolivia
28,Bonaire (Netherlands)
29,Bosnia and Herzegovina
30,Botswana
31,Brazil
32,British Virgin Islands (BOT)
33,Brunei
34,Bulgaria
35,Burkina Faso
36,Burundi
37,Cambodia
38,Cameroon
39,Canada
40,Cape Verde
41,Cayman Islands (BOT)
42,Central African Republic
43,Chad
44,Chile
45,China
46,Christmas Island (Australia)
47,Cocos (Keeling) Islands (Australia)
48,Colombia
49,Comoros
50,Congo
51,Cook Islands
52,Costa Rica
53,Croatia
54,Cuba
55,Curaçao (Netherlands)
56,Cyprus
57,Czech Republic
58,Denmark
59,Djibouti
60,Dominica
61,Dominican Republic
62,DR Congo
63,East Timor
64,Ecuador
65,Egypt
66,El Salvador
67,Equatorial Guinea
68,Eritrea
69,Estonia
70,Eswatini
71,Ethiopia
72,Falkland Islands (BOT)
73,Faroe Islands (Denmark)
74,Fiji
75,Finland
76,France
77,French Guiana (France)
78,French Polynesia (France)
79,Gabon
80,Gambia
81,Georgia
82,Germany
83,Ghana
84,Gibraltar (BOT)
85,Greece
86,Greenland (Denmark)
87,Grenada
88,Guadeloupe (France)
89,Guam (US)
90,Guatemala
91,Guernsey (Crown Dependency)
92,Guinea
93,Guinea-Bissau
94,Guyana
95,Haiti
96,Honduras
97,Hong Kong
98,Hungary
99,Iceland
100,India
101,Indonesia
102,Iran
103,Iraq
104,Ireland
105,Isle of Man (Crown Dependency)
106,Israel
107,Italy
108,Ivory Coast
109,Jamaica
110,Japan
111,Jersey (Crown Dependency)
112,Jordan
113,Kazakhstan
114,Kenya
115,Kiribati
116,Kosovo
117,Kuwait
118,Kyrgyzstan
119,Laos
120,Latvia
121,Lebanon
122,Lesotho
123,Liberia
124,Libya
125,Liechtenstein
126,Lithuania
127,Luxembourg
128,Macau
129,Madagascar
130,Malawi
131,Malaysia
132,Maldives
133,Mali
134,Malta
135,Marshall Islands
136,Martinique (France)
137,Mauritania
138,Mauritius
139,Mayotte (France)
140,Mexico
141,Micronesia
142,Moldova
143,Monaco
144,Mongolia
145,Montenegro
146,Montserrat (BOT)
147,Morocco
148,Mozambique
149,Myanmar
150,Namibia
151,Nauru
152,Nepal
153,Netherlands
154,New Caledonia (France)
155,New Zealand
156,Nicaragua
157,Niger
158,Nigeria
159,Niue
160,Norfolk Island (Australia)
161,North Korea
162,North Macedonia
163,Northern Cyprus
164,Northern Mariana Islands (US)
165,Norway
166,Oman
167,Pakistan
168,Palau
169,Palestine
170,Panama
171,Papua New Guinea
172,Paraguay
173,Peru
174,Philippines
175,Pitcairn Islands (BOT)
176,Poland
177,Portugal
178,Puerto Rico (US)
179,Qatar
180,Réunion (France)
181,Romania
182,Russia
183,Rwanda
184,Saba (Netherlands)
185,Saint Barthélemy (France)
186,"Saint Helena, Ascension and Tristan da Cunha (BOT)"
187,Saint Kitts and Nevis
188,Saint Lucia
189,Saint Martin (France)
190,Saint Pierre and Miquelon (France)
191,Saint Vincent and the Grenadines
192,Samoa
193,San Marino
194,São Tomé and Príncipe
195,Saudi Arabia
196,Senegal
197,Serbia
198,Seychelles
199,Sierra Leone
200,Singapore
201,Sint Eustatius (Netherlands)
202,Sint Maarten (Netherlands)
203,Slovakia
204,Slovenia
205,Solomon Islands
206,Somalia
207,South Africa
208,South Korea
209,South Sudan
210,Spain
211,Sri Lanka
212,Sudan
213,Suriname
214,Svalbard and Jan Mayen (Norway)
215,Sweden
216,Switzerland
217,Syria
218,Taiwan
219,Tajikistan
220,Tanzania
221,Thailand
222,Togo
223,Tokelau (NZ)
224,Tonga
225,Transnistria
226,Trinidad and Tobago
227,Tunisia
228,Turkey
229,Turkmenistan
230,Turks and Caicos Islands (BOT)
231,Tuvalu
232,U.S. Virgin Islands (US)
233,Uganda
234,Ukraine
235,United Arab Emirates
236,United Kingdom
237,United States
238,Uruguay
239,Uzbekistan
240,Vanuatu
241,Vatican City
242,Venezuela
243,Vietnam
244,Wallis and Futuna (France)
245,Western Sahara
246,Yemen
247,Zambia
248,Zimbabwe
,
https://www.downloadexcelfiles.com/,
